Section ID,Section Name,Req ID,Description,Level,Status,Observations,Reference / Link
V15.1,Secure Coding and Architecture Documentation,,,,,,
V15.1,Secure Coding and Architecture Documentation,V15.1.1,"Verify that application documentation defines risk based remediation time frames for 3rd party component versions with vulnerabilities and for updating libraries in general, to minimize the risk from these components.",1,Compliant,,CantinasApp\Backend\codingArchitectureDocumentation.md
V15.1,Secure Coding and Architecture Documentation,V15.1.2,"Verify that an inventory catalog, such as software bill of materials (SBOM), is maintained of all third-party libraries in use, including verifying that components come from pre-defined, trusted, and continually maintained repositories.",2,Not Started,,
V15.1,Secure Coding and Architecture Documentation,V15.1.3,"Verify that the application documentation identifies functionality which is time-consuming or resource-demanding. This must include how to prevent a loss of availability due to overusing this functionality and how to avoid a situation where building a response takes longer than the consumer's timeout. Potential defenses may include asynchronous processing, using queues, and limiting parallel processes per user and per application.",2,Compliant,,CantinasApp\Backend\codingArchitectureDocumentation.md
V15.1,Secure Coding and Architecture Documentation,V15.1.4,"Verify that application documentation highlights third-party libraries which are considered to be ""risky components"".",3,Not Started,,
V15.1,Secure Coding and Architecture Documentation,V15.1.5,"Verify that application documentation highlights parts of the application where ""dangerous functionality"" is being used.",3,Compliant,,CantinasApp\Backend\codingArchitectureDocumentation.md
V15.2,Security Architecture and Dependencies,,,,,,
V15.2,Security Architecture and Dependencies,V15.2.1,Verify that the application only contains components which have not breached the documented update and remediation time frames.,1,Compliant,we use GitHub Dependabot,
V15.2,Security Architecture and Dependencies,V15.2.2,"Verify that the application has implemented defenses against loss of availability due to functionality which is time-consuming or resource-demanding, based on the documented security decisions and strategies for this.",2,Compliant,implementation of rate limit,CantinasApp\Backend\src\middlewares\rateLimit.ts
V15.2,Security Architecture and Dependencies,V15.2.3,"Verify that the production environment only includes functionality that is required for the application to function, and does not expose extraneous functionality such as test code, sample snippets, and development functionality.",2,Compliant,In the docker file it excludes everything except what is necessary,CantinasApp\Backend\Dockerfile
V15.2,Security Architecture and Dependencies,V15.2.4,"Verify that third-party components and all of their transitive dependencies are included from the expected repository, whether internally owned or an external source, and that there is no risk of a dependency confusion attack.",3,Not Applicable,we don't have conflits,
V15.2,Security Architecture and Dependencies,V15.2.5,"Verify that the application implements additional protections around parts of the application which are documented as containing ""dangerous functionality"" or using third-party libraries considered to be ""risky components"". This could include techniques such as sandboxing, encapsulation, containerization or network level isolation to delay and deter attackers who compromise one part of an application from pivoting elsewhere in the application.",3,Not Started,,
V15.3,Defensive Coding,,,,,,
V15.3,Defensive Coding,V15.3.1,"Verify that the application only returns the required subset of fields from a data object. For example, it should not return an entire data object, as some individual fields should not be accessible to users.",1,Not Started,,
V15.3,Defensive Coding,V15.3.2,"Verify that where the application backend makes calls to external URLs, it is configured to not follow redirects unless it is intended functionality.",2,Compliant,"By default, HTTP clients like axios or fetch automatically follow HTTP 301/302 redirects.",
V15.3,Defensive Coding,V15.3.3,"Verify that the application has countermeasures to protect against mass assignment attacks by limiting allowed fields per controller and action, e.g., it is not possible to insert or update a field value when it was not intended to be part of that action.",2,Not Started,,
V15.3,Defensive Coding,V15.3.4,"Verify that all proxying and middleware components transfer the user's original IP address correctly using trusted data fields that cannot be manipulated by the end user, and the application and web server use this correct value for logging and security decisions such as rate limiting, taking into account that even the original IP address may not be reliable due to dynamic IPs, VPNs, or corporate firewalls.",2,Compliant,"app.set('trust proxy', 1);",
V15.3,Defensive Coding,V15.3.5,Verify that the application explicitly ensures that variables are of the correct type and performs strict equality and comparator operations. This is to avoid type juggling or type confusion vulnerabilities caused by the application code making an assumption about a variable type.,2,Compliant,we always use === instead of ==,
V15.3,Defensive Coding,V15.3.6,"Verify that JavaScript code is written in a way that prevents prototype pollution, for example, by using Set() or Map() instead of object literals.",2,Not Started,,
V15.3,Defensive Coding,V15.3.7,"Verify that the application has defenses against HTTP parameter pollution attacks, particularly if the application framework makes no distinction about the source of request parameters (query string, body parameters, cookies, or header fields).",2,Compliant,app.use(hpp()); Parameter Pollution (HPP) protection,CantinasApp\Backend\index.ts
V15.4,Safe Concurrency,,,,,,
V15.4,Safe Concurrency,V15.4.1,"Verify that shared objects in multi-threaded code (such as caches, files, or in-memory objects accessed by multiple threads) are accessed safely by using thread-safe types and synchronization mechanisms like locks or semaphores to avoid race conditions and data corruption.",3,Not Started,,
V15.4,Safe Concurrency,V15.4.2,"Verify that checks on a resource's state, such as its existence or permissions, and the actions that depend on them are performed as a single atomic operation to prevent time-of-check to time-of-use (TOCTOU) race conditions. For example, checking if a file exists before opening it, or verifying a user’s access before granting it.",3,Not Started,,
V15.4,Safe Concurrency,V15.4.3,"Verify that locks are used consistently to avoid threads getting stuck, whether by waiting on each other or retrying endlessly, and that locking logic stays within the code responsible for managing the resource to ensure locks cannot be inadvertently or maliciously modified by external classes or code.",3,Not Started,,
V15.4,Safe Concurrency,V15.4.4,"Verify that resource allocation policies prevent thread starvation by ensuring fair access to resources, such as by leveraging thread pools, allowing lower-priority threads to proceed within a reasonable timeframe.",3,Not Started,,
